date,channel,product,units,unit_price,revenue,cost,waste_units,notes
2026-06-01,現場,香蕉,42,35,1470,840,2,上午銷售佳
2026-06-01,LINE,辦公室水果箱,18,120,2160,1260,0,公司訂單
2026-06-02,現場,芒果,25,90,2250,1500,3,詢問多但耗損偏高
2026-06-02,Instagram,切盒水果,16,75,1200,720,1,限動導流
2026-06-03,現場,西瓜,30,80,2400,1350,4,午後熱銷
2026-06-03,LINE,蘋果,22,55,1210,770,0,家庭客預訂
2026-06-04,現場,火龍果,20,70,1400,920,2,平日穩定
2026-06-04,LINE,辦公室水果箱,24,120,2880,1680,0,回購訂單
2026-06-05,現場,香蕉,38,35,1330,760,1,雨天客流下降
2026-06-05,Instagram,芒果,18,90,1620,1080,2,貼文成效普通
2026-06-06,現場,西瓜,36,80,2880,1620,3,週六客流高
2026-06-06,LINE,辦公室水果箱,31,120,3720,2170,0,配送需求增加
2026-06-07,現場,切盒水果,44,75,3300,1980,1,週末熱銷
2026-06-07,Instagram,芒果,22,90,1980,1320,1,限時優惠有效
2026-06-08,現場,香蕉,34,35,1190,680,1,回購穩定
2026-06-08,LINE,蘋果,28,55,1540,980,0,家庭訂單增加
2026-06-09,現場,火龍果,18,70,1260,828,2,客單偏低
2026-06-09,Instagram,切盒水果,24,75,1800,1080,1,社群詢問增加
2026-06-10,現場,西瓜,32,80,2560,1440,2,天氣炎熱
2026-06-10,LINE,辦公室水果箱,29,120,3480,2030,0,固定客訂單
2026-06-11,現場,芒果,20,90,1800,1200,3,庫存壓力偏高
2026-06-11,Instagram,香蕉,26,35,910,520,1,促銷組合
2026-06-12,現場,切盒水果,40,75,3000,1800,1,午休時段佳
2026-06-12,LINE,辦公室水果箱,35,120,4200,2450,0,團購訂單
